,anxiety_level,self_esteem,mental_health_history,depression,headache,blood_pressure,sleep_quality,breathing_problem,noise_level,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
anxiety_level,1.0,-0.672745269467341,0.6344496214914743,0.6943403793505077,0.6327375975899171,0.33086692507746285,-0.7102923125841069,0.5616537658742801,0.6086243474126356,-0.5684344219424008,-0.6512197819059766,-0.6370785448475522,-0.6496011296145087,0.5860641792302566,-0.663176472800886,0.7170156316277518,-0.5697478563830496,0.6429101451231729,0.6410218542878167,0.7099815025776223,0.7367954226953097
self_esteem,-0.672745269467341,1.0,-0.603501940287582,-0.699601757141151,-0.6260584586219425,-0.5146919615759684,0.6626928053304494,-0.5105143023219455,-0.5711687372546478,0.550535046965688,0.6439807165437096,0.6312116278114053,0.6390451846501165,-0.5751117016677949,0.6529342801651834,-0.7125195461204591,0.6792109725869435,-0.607117867773477,-0.641201753597699,-0.6407371095563289,-0.7561950866283418
mental_health_history,0.6344496214914743,-0.603501940287582,1.0,0.6158823442183481,0.6048258208356482,0.29561732488924936,-0.614145951105366,0.46434726624919226,0.5152898565494122,-0.5085251662459445,-0.5467312793128096,-0.6011955116678048,-0.5861930649633016,0.5322665244236994,-0.5877277366176663,0.6259094231600872,-0.48255961271680275,0.5806019291712917,0.5545761974692742,0.6243657971517639,0.648643996245449
depression,0.6943403793505077,-0.699601757141151,0.6158823442183481,1.0,0.6576999046747344,0.43608415927979266,-0.6931609071393324,0.5225402160382776,0.56624953380096,-0.5303507309043473,-0.6258571800442265,-0.608776080864136,-0.6331743468183938,0.6024983680021583,-0.6738529549230701,0.7065605984779401,-0.6179719650789287,0.6355437219649265,0.6485505920115457,0.6657898767466098,0.7343785737506857
headache,0.6327375975899171,-0.6260584586219425,0.6048258208356482,0.6576999046747344,1.0,0.361986250875138,-0.6387708500001316,0.46171876788904814,0.5435572607087789,-0.5328251117263458,-0.5891364892845096,-0.6231989189828298,-0.6220585464446517,0.5428896848551974,-0.6259281685390422,0.6793072406283837,-0.5729879421073778,0.622580710149101,0.5825619152658279,0.6097754993351211,0.7134840400213877
blood_pressure,0.33086692507746285,-0.5146919615759684,0.29561732488924936,0.43608415927979266,0.361986250875138,1.0,-0.30032340185267337,0.16230840582892772,0.3527439819596135,-0.27468554716709404,-0.2883535728245062,-0.2805899855164803,-0.26278539184992156,0.3489643422777945,-0.3521229608939073,0.434087401048761,-0.752530957361663,0.40139210879199494,0.42625449703836743,0.3704402130446618,0.39419986264664786
sleep_quality,-0.7102923125841069,0.6626928053304494,-0.614145951105366,-0.6931609071393324,-0.6387708500001316,-0.30032340185267337,1.0,-0.5416866352334442,-0.5766454579118375,0.5354615182651588,0.65768633691879,0.6209546973891601,0.671326304338475,-0.5517750679568209,0.6775691162917433,-0.6821297639221524,0.5545530895099552,-0.6490981305134549,-0.6230923223579322,-0.699427162316215,-0.7490678608072432
breathing_problem,0.5616537658742801,-0.5105143023219455,0.46434726624919226,0.5225402160382776,0.46171876788904814,0.16230840582892772,-0.5416866352334442,1.0,0.459234522225614,-0.44899700085072247,-0.519347563591092,-0.5081720761109011,-0.5072508752453608,0.4287909731601985,-0.4988945276350669,0.5453450637328859,-0.36517337692248864,0.49272879329804675,0.516884360723989,0.576340821792501,0.5739836669821395
noise_level,0.6086243474126356,-0.5711687372546478,0.5152898565494122,0.56624953380096,0.5435572607087789,0.3527439819596135,-0.5766454579118375,0.459234522225614,1.0,-0.4523616014891302,-0.5366296307077917,-0.5723266182999934,-0.5137298080723818,0.49362536657997597,-0.5387583352267199,0.5754390805135647,-0.49209403369588606,0.5838173194909133,0.5636135596463538,0.5854582790912068,0.6633713207736834
living_conditions,-0.5684344219424008,0.550535046965688,-0.5085251662459445,-0.5303507309043473,-0.5328251117263458,-0.27468554716709404,0.5354615182651588,-0.44899700085072247,-0.4523616014891302,1.0,0.5635709654584945,0.5032750416523917,0.5072206143731451,-0.4377324722630736,0.54933164872219,-0.5650713214241542,0.46659420446851874,-0.501794607013878,-0.5157935545851978,-0.5511387477988138,-0.5817230764553161
safety,-0.6512197819059766,0.6439807165437096,-0.5467312793128096,-0.6258571800442265,-0.5891364892845096,-0.2883535728245062,0.65768633691879,-0.519347563591092,-0.5366296307077917,0.5635709654584945,1.0,0.6247744935034444,0.6428461646762937,-0.4939029300387409,0.6633278629465369,-0.6581057076253647,0.6149880840047527,-0.5569454020110098,-0.5803041904744982,-0.6456732767879714,-0.70960161216235
basic_needs,-0.6370785448475522,0.6312116278114053,-0.6011955116678048,-0.608776080864136,-0.6231989189828298,-0.2805899855164803,0.6209546973891601,-0.5081720761109011,-0.5723266182999934,0.5032750416523917,0.6247744935034444,1.0,0.6393874578252446,-0.5134594559019375,0.6495188444532461,-0.6393478763583634,0.5841413735603711,-0.5870365305518592,-0.5064257842400797,-0.64488616517295,-0.7089675916451599
academic_performance,-0.6496011296145087,0.6390451846501165,-0.5861930649633016,-0.6331743468183938,-0.6220585464446517,-0.26278539184992156,0.671326304338475,-0.5072508752453608,-0.5137298080723818,0.5072206143731451,0.6428461646762937,0.6393874578252446,1.0,-0.5204166469504523,0.6694693184657421,-0.6438049340914589,0.5675012068079557,-0.5629476560318204,-0.5886122145443998,-0.6662287262185984,-0.7209223607715066
study_load,0.5860641792302566,-0.5751117016677949,0.5322665244236994,0.6024983680021583,0.5428896848551974,0.3489643422777945,-0.5517750679568209,0.4287909731601985,0.49362536657997597,-0.4377324722630736,-0.4939029300387409,-0.5134594559019375,-0.5204166469504523,1.0,-0.514122793599598,0.5760782158735545,-0.47331208618234477,0.5441890249431113,0.543543126855781,0.5866685818067102,0.6341555002197954
teacher_student_relationship,-0.663176472800886,0.6529342801651834,-0.5877277366176663,-0.6738529549230701,-0.6259281685390422,-0.3521229608939073,0.6775691162917433,-0.4988945276350669,-0.5387583352267199,0.54933164872219,0.6633278629465369,0.6495188444532461,0.6694693184657421,-0.514122793599598,1.0,-0.6702549617707267,0.6812877863687861,-0.5877702320301211,-0.582310771071054,-0.6559603828445092,-0.6801627386730823
future_career_concerns,0.7170156316277518,-0.7125195461204591,0.6259094231600872,0.7065605984779401,0.6793072406283837,0.434087401048761,-0.6821297639221524,0.5453450637328859,0.5754390805135647,-0.5650713214241542,-0.6581057076253647,-0.6393478763583634,-0.6438049340914589,0.5760782158735545,-0.6702549617707267,1.0,-0.6027916006039777,0.6668725040036733,0.6665646479946261,0.7112781033529624,0.7426186047951918
social_support,-0.5697478563830496,0.6792109725869435,-0.48255961271680275,-0.6179719650789287,-0.5729879421073778,-0.752530957361663,0.5545530895099552,-0.36517337692248864,-0.49209403369588606,0.46659420446851874,0.6149880840047527,0.5841413735603711,0.5675012068079557,-0.47331208618234477,0.6812877863687861,-0.6027916006039777,1.0,-0.49017172460992614,-0.5300473533058746,-0.5670783393907547,-0.6324969908829028
peer_pressure,0.6429101451231729,-0.607117867773477,0.5806019291712917,0.6355437219649265,0.622580710149101,0.40139210879199494,-0.6490981305134549,0.49272879329804675,0.5838173194909133,-0.501794607013878,-0.5569454020110098,-0.5870365305518592,-0.5629476560318204,0.5441890249431113,-0.5877702320301211,0.6668725040036733,-0.49017172460992614,1.0,0.6183705944346192,0.6610577465087638,0.6906839575310743
extracurricular_activities,0.6410218542878167,-0.641201753597699,0.5545761974692742,0.6485505920115457,0.5825619152658279,0.42625449703836743,-0.6230923223579322,0.516884360723989,0.5636135596463538,-0.5157935545851978,-0.5803041904744982,-0.5064257842400797,-0.5886122145443998,0.543543126855781,-0.582310771071054,0.6665646479946261,-0.5300473533058746,0.6183705944346192,1.0,0.6519786112147605,0.6929768658962855
bullying,0.7099815025776223,-0.6407371095563289,0.6243657971517639,0.6657898767466098,0.6097754993351211,0.3704402130446618,-0.699427162316215,0.576340821792501,0.5854582790912068,-0.5511387477988138,-0.6456732767879714,-0.64488616517295,-0.6662287262185984,0.5866685818067102,-0.6559603828445092,0.7112781033529624,-0.5670783393907547,0.6610577465087638,0.6519786112147605,1.0,0.7511622514986331
stress_level,0.7367954226953097,-0.7561950866283418,0.648643996245449,0.7343785737506857,0.7134840400213877,0.39419986264664786,-0.7490678608072432,0.5739836669821395,0.6633713207736834,-0.5817230764553161,-0.70960161216235,-0.7089675916451599,-0.7209223607715066,0.6341555002197954,-0.6801627386730823,0.7426186047951918,-0.6324969908829028,0.6906839575310743,0.6929768658962855,0.7511622514986331,1.0
