Rank,Hospital / Institute,Location,Contact Number(s)
1,NIMHANS,"Bengaluru, Karnataka",080-26995000 / 5100 / 5200 / 5300 / 5400; 080-26995201 / 5202; OPD: 080-26995530
2,IHBAS,Delhi,Not found
3,CIP,"Kanke, Ranchi, Jharkhand",Not found
4,RINPAS,"Ranchi, Jharkhand",0651-2450813
5,LGBRIMH,"Tezpur, Assam",03712-232652; 01204401070; 9531205256; 9531205260; 9531205252; 6026177288
6,Government Mental Health Centre (GMHC),"Kozhikode, Kerala",+91 495 274 1386; 0495 274 1385; 0940 0058 020
7,Institute of Mental Health & Neuro Sciences (IMHANS),"Kozhikode, Kerala",0495-2359352; +91-9400061163
8,Institute of Mental Health (Hyderabad),"Hyderabad, Telangana",040-23813252; 040-23814441
9,Asha Hospital,"Hyderabad, Telangana",9666655558 / 8008870011; 040-23542831 / 35 / 38; +91-9121106683
10,NIMHANS Centre for Wellâ€‘Being,"Bengaluru, Karnataka",080-26685948; 9480829670
